año,mes,region,estacion,categoria_gasto,monto_real_mxn
2024,1,Norte,Monterrey,Recolección,1257000
2024,1,Norte,Monterrey,Transporte,422000
2024,1,Norte,Monterrey,Tratamiento,674000
2024,1,Norte,Monterrey,Mantenimiento,193000
2024,1,Norte,Monterrey,Personal,828000
2024,1,Norte,Monterrey,Administrativo,111000
2024,1,Norte,Saltillo,Recolección,995000
2024,1,Norte,Saltillo,Transporte,305000
2024,1,Norte,Saltillo,Tratamiento,518000
2024,1,Norte,Saltillo,Mantenimiento,142000
2024,1,Norte,Saltillo,Personal,633000
2024,1,Norte,Saltillo,Administrativo,85000
2024,1,Centro,CDMX,Recolección,2060000
2024,1,Centro,CDMX,Transporte,711000
2024,1,Centro,CDMX,Tratamiento,1157000
2024,1,Centro,CDMX,Mantenimiento,311000
2024,1,Centro,CDMX,Personal,1335000
2024,1,Centro,CDMX,Administrativo,191000
2024,1,Centro,Toluca,Recolección,881000
2024,1,Centro,Toluca,Transporte,274000
2024,1,Centro,Toluca,Tratamiento,486000
2024,1,Centro,Toluca,Mantenimiento,131000
2024,1,Centro,Toluca,Personal,576000
2024,1,Centro,Toluca,Administrativo,74000
2024,1,Sur,Oaxaca,Recolección,662000
2024,1,Sur,Oaxaca,Transporte,219000
2024,1,Sur,Oaxaca,Tratamiento,384000
2024,1,Sur,Oaxaca,Mantenimiento,103000
2024,1,Sur,Oaxaca,Personal,466000
2024,1,Sur,Oaxaca,Administrativo,62000
2024,1,Sur,Veracruz,Recolección,830000
2024,1,Sur,Veracruz,Transporte,272000
2024,1,Sur,Veracruz,Tratamiento,451000
2024,1,Sur,Veracruz,Mantenimiento,122000
2024,1,Sur,Veracruz,Personal,537000
2024,1,Sur,Veracruz,Administrativo,72000
2024,1,Bajío,Guadalajara,Recolección,1064000
2024,1,Bajío,Guadalajara,Transporte,352000
2024,1,Bajío,Guadalajara,Tratamiento,588000
2024,1,Bajío,Guadalajara,Mantenimiento,160000
2024,1,Bajío,Guadalajara,Personal,696000
2024,1,Bajío,Guadalajara,Administrativo,90000
2024,1,Bajío,Querétaro,Recolección,772000
2024,1,Bajío,Querétaro,Transporte,258000
2024,1,Bajío,Querétaro,Tratamiento,423000
2024,1,Bajío,Querétaro,Mantenimiento,117000
2024,1,Bajío,Querétaro,Personal,502000
2024,1,Bajío,Querétaro,Administrativo,67000
2024,2,Norte,Monterrey,Recolección,1219000
2024,2,Norte,Monterrey,Transporte,415000
2024,2,Norte,Monterrey,Tratamiento,656000
2024,2,Norte,Monterrey,Mantenimiento,187000
2024,2,Norte,Monterrey,Personal,788000
2024,2,Norte,Monterrey,Administrativo,109000
2024,2,Norte,Saltillo,Recolección,956000
2024,2,Norte,Saltillo,Transporte,302000
2024,2,Norte,Saltillo,Tratamiento,498000
2024,2,Norte,Saltillo,Mantenimiento,142000
2024,2,Norte,Saltillo,Personal,612000
2024,2,Norte,Saltillo,Administrativo,82000
2024,2,Centro,CDMX,Recolección,2077000
2024,2,Centro,CDMX,Transporte,702000
2024,2,Centro,CDMX,Tratamiento,1118000
2024,2,Centro,CDMX,Mantenimiento,303000
2024,2,Centro,CDMX,Personal,1327000
2024,2,Centro,CDMX,Administrativo,186000
2024,2,Centro,Toluca,Recolección,835000
2024,2,Centro,Toluca,Transporte,267000
2024,2,Centro,Toluca,Tratamiento,462000
2024,2,Centro,Toluca,Mantenimiento,125000
2024,2,Centro,Toluca,Personal,556000
2024,2,Centro,Toluca,Administrativo,74000
2024,2,Sur,Oaxaca,Recolección,640000
2024,2,Sur,Oaxaca,Transporte,212000
2024,2,Sur,Oaxaca,Tratamiento,381000
2024,2,Sur,Oaxaca,Mantenimiento,101000
2024,2,Sur,Oaxaca,Personal,454000
2024,2,Sur,Oaxaca,Administrativo,60000
2024,2,Sur,Veracruz,Recolección,788000
2024,2,Sur,Veracruz,Transporte,259000
2024,2,Sur,Veracruz,Tratamiento,438000
2024,2,Sur,Veracruz,Mantenimiento,115000
2024,2,Sur,Veracruz,Personal,526000
2024,2,Sur,Veracruz,Administrativo,71000
2024,2,Bajío,Guadalajara,Recolección,1014000
2024,2,Bajío,Guadalajara,Transporte,336000
2024,2,Bajío,Guadalajara,Tratamiento,574000
2024,2,Bajío,Guadalajara,Mantenimiento,155000
2024,2,Bajío,Guadalajara,Personal,658000
2024,2,Bajío,Guadalajara,Administrativo,88000
2024,2,Bajío,Querétaro,Recolección,745000
2024,2,Bajío,Querétaro,Transporte,253000
2024,2,Bajío,Querétaro,Tratamiento,422000
2024,2,Bajío,Querétaro,Mantenimiento,114000
2024,2,Bajío,Querétaro,Personal,486000
2024,2,Bajío,Querétaro,Administrativo,66000
2024,3,Norte,Monterrey,Recolección,1288000
2024,3,Norte,Monterrey,Transporte,435000
2024,3,Norte,Monterrey,Tratamiento,700000
2024,3,Norte,Monterrey,Mantenimiento,200000
2024,3,Norte,Monterrey,Personal,812000
2024,3,Norte,Monterrey,Administrativo,112000
2024,3,Norte,Saltillo,Recolección,997000
2024,3,Norte,Saltillo,Transporte,314000
2024,3,Norte,Saltillo,Tratamiento,520000
2024,3,Norte,Saltillo,Mantenimiento,147000
2024,3,Norte,Saltillo,Personal,636000
2024,3,Norte,Saltillo,Administrativo,86000
2024,3,Centro,CDMX,Recolección,2117000
2024,3,Centro,CDMX,Transporte,740000
2024,3,Centro,CDMX,Tratamiento,1179000
2024,3,Centro,CDMX,Mantenimiento,310000
2024,3,Centro,CDMX,Personal,1364000
2024,3,Centro,CDMX,Administrativo,189000
2024,3,Centro,Toluca,Recolección,893000
2024,3,Centro,Toluca,Transporte,287000
2024,3,Centro,Toluca,Tratamiento,481000
2024,3,Centro,Toluca,Mantenimiento,132000
2024,3,Centro,Toluca,Personal,588000
